X1,Random_state,Optimal_Nfeat,Optimal_C,CV_AUC,CV_AUC_SD,Test_AUC,CV_AUC_lowCI,CV_AUC_highCI
0,726,20,0.30000000000000004,0.9323958333333333,0.047726524915978924,0.9747474747474747,0.9409277309272044,1.0
0,727,25,0.5000000000000001,0.9479166666666667,0.028198207192814396,0.9276094276094277,0.8290746656682567,1.0
0,728,50,0.7000000000000001,0.9122916666666668,0.07578409573694646,0.9444444444444444,0.8749157748907654,1.0
0,729,20,0.08999999999999998,0.9408333333333335,0.009279607271383383,0.867003367003367,0.7707077612630749,0.9632989727436595
0,730,40,0.1,0.91875,0.047397550335199566,0.9461279461279462,0.8921971483596993,1.0
0,731,45,4.0,0.9153125000000001,0.07922393761778486,0.8821548821548821,0.7824787435037655,0.9818310208059993
0,732,25,0.08999999999999998,0.9509375,0.02658271289767091,0.9393939393939394,0.8796593766958063,0.9991285020920726
0,733,40,0.30000000000000004,0.9529166666666666,0.03495036162585129,0.9461279461279462,0.8897830142305632,1.0
0,734,30,0.1,0.9303125000000001,0.053958333333333344,0.9831649831649831,0.9559734212943541,1.0
0,735,50,1.5,0.930625,0.03857037219305914,0.9175084175084175,0.8341209365711238,1.0
0,736,20,0.1,0.9183333333333333,0.08488554385497898,0.9427609427609428,0.8848655942879927,1.0
0,737,50,0.30000000000000004,0.9483333333333333,0.04755114205895701,0.9158249158249158,0.8319492500433759,0.9997005816064558
0,738,45,4.0,0.9672916666666668,0.029014483930922798,0.8265993265993266,0.7018521206131082,0.9513465325855449
0,739,35,0.1,0.9566666666666667,0.04390646624106495,0.9023569023569022,0.814042434427831,0.990671370285974
0,740,50,0.30000000000000004,0.9690625,0.024763639619858446,0.9377104377104376,0.8729150285351437,1.0
0,741,35,0.5000000000000001,0.9603125,0.014673826377450282,0.8956228956228954,0.7912609269589663,0.9999848642868252
0,742,25,0.1,0.9685416666666669,0.01635648868865874,0.867003367003367,0.7453537545978148,0.9886529794089196
0,743,45,0.1,0.9404166666666667,0.06566434006030633,0.9545454545454546,0.8998116434363508,1.0
0,744,20,0.08999999999999998,0.9475000000000001,0.038333333333333316,0.962962962962963,0.920311436172635,1.0
0,745,20,1.0,0.9566666666666667,0.054108943602493076,0.8989898989898989,0.8073557893683214,0.9906240086114766
0,746,35,0.30000000000000004,0.9520833333333334,0.06452282111349784,0.9377104377104377,0.8753592191302544,1.0
0,747,30,0.1,0.9700000000000001,0.031001792062897097,0.9074074074074074,0.8297177037920154,0.9850971110227995
0,748,30,8.0,0.9270833333333333,0.054677082341080874,0.9057239057239057,0.8170383389371088,0.9944094725107027
0,749,45,0.30000000000000004,0.9668749999999999,0.03385272432824939,0.8905723905723906,0.7829269902099568,0.9982177909348243
0,750,20,6.0,0.9703125,0.03363470533210861,0.898989898989899,0.7875835684333674,1.0
0,751,25,0.30000000000000004,0.9272916666666667,0.030049149553504677,0.8249158249158249,0.7010055171000249,0.9488261327316247
0,752,40,0.9000000000000001,0.9355208333333334,0.027544944333458606,0.9343434343434344,0.8681176686220834,1.0
0,753,40,0.1,0.9521875000000002,0.05288589984842629,0.9292929292929294,0.862757826717382,0.9958280318684766
0,754,20,0.9000000000000001,0.8511458333333334,0.08944296172856635,0.936026936026936,0.8698589160726553,1.0
0,755,45,0.30000000000000004,0.9396875,0.029018223440911536,0.9612794612794613,0.9166293664124068,1.0
0,756,25,0.1,0.9155208333333335,0.06520567087216332,0.9713804713804713,0.9303841433110716,1.0
