,Random_state,CV_AUC,CV_AUC_SD,Test_AUC,Test_AUC_lCI,Test_AUC_uCI
0,481,0.679,0.118,0.763,0.6511195642795274,0.8745665722440473
0,482,0.701,0.102,0.759,0.639130347189932,0.8781110321204125
0,483,0.759,0.049,0.634,0.505906735048616,0.7622143064714403
0,484,0.698,0.066,0.748,0.6315271605580018,0.8646023257192678
0,485,0.696,0.057,0.746,0.6191302990745057,0.8727768085961486
0,486,0.701,0.068,0.775,0.6689780990150827,0.8806348496126444
0,487,0.711,0.102,0.722,0.6005261077193185,0.8435273757430322
0,488,0.703,0.041,0.751,0.6282488180468064,0.8735105063726165
0,489,0.763,0.077,0.621,0.4858994215240585,0.7568873483563076
0,490,0.716,0.056,0.719,0.6024451325583617,0.8345710532262967
0,491,0.703,0.085,0.773,0.6614609369952692,0.8839296330258425
0,492,0.721,0.086,0.725,0.6032067518600694,0.8464765697444341
0,493,0.704,0.072,0.781,0.6707224536987227,0.8915576307488494
0,494,0.741,0.071,0.693,0.5719707226829784,0.8143769198222994
0,495,0.715,0.084,0.733,0.6093987762436355,0.8571740597873285
0,496,0.707,0.078,0.76,0.6452826561591971,0.8747736422222243
0,497,0.727,0.034,0.761,0.6497271296657863,0.8717366282511736
0,498,0.682,0.072,0.83,0.7303012841872305,0.9290935082124878
0,499,0.689,0.084,0.806,0.700207695642308,0.9113334725491067
0,500,0.746,0.098,0.656,0.5264468765470386,0.7853054105747067
0,501,0.707,0.037,0.764,0.6565624675783219,0.8705311284807913
0,502,0.731,0.086,0.71,0.5853463628090378,0.8347803085491605
0,503,0.766,0.044,0.633,0.5011721908899154,0.7641339315590643
0,504,0.73,0.047,0.701,0.5703959982597056,0.8314336991364943
0,505,0.73,0.053,0.688,0.565071095684496,0.8114243300720136
0,506,0.722,0.069,0.724,0.6002939429220806,0.8479819191468849
0,507,0.702,0.072,0.775,0.6677317357974503,0.8818812128302768
0,508,0.707,0.104,0.752,0.6284876716498101,0.8760865718406893
0,509,0.708,0.103,0.733,0.6199651932010175,0.845200183294408
0,510,0.756,0.035,0.633,0.5001892871685699,0.7651168352804097
0,511,0.737,0.045,0.687,0.5561580903742347,0.817522416311198
0,512,0.714,0.089,0.742,0.6221900000494855,0.8612723504079389
0,513,0.719,0.076,0.731,0.6183140067564245,0.8440364506679247
0,514,0.696,0.06,0.781,0.6702680917887666,0.8920119926588056
0,515,0.756,0.069,0.65,0.5108262743480279,0.7882588769538723
0,516,0.719,0.098,0.709,0.5879253788830854,0.8293863734040365
0,517,0.698,0.056,0.714,0.5955593871119274,0.8316045819239628
0,518,0.797,0.046,0.55,0.41371045740243184,0.685515439853022
0,519,0.743,0.073,0.656,0.5275618597637471,0.7841904273579982
0,520,0.659,0.034,0.837,0.7476898934861895,0.9257794942689124
0,521,0.757,0.07,0.628,0.49544342317317647,0.7600104825270347
0,522,0.75,0.082,0.68,0.5532204303429338,0.8063854809871154
0,523,0.709,0.038,0.758,0.6472507993574436,0.868583120417363
0,524,0.715,0.05,0.717,0.5967596403323783,0.8374416263812037
0,525,0.743,0.087,0.664,0.5271469137473387,0.8014948878008666
0,526,0.72,0.097,0.741,0.6205837871365416,0.8614711037853444
0,527,0.729,0.05,0.677,0.5475381232142907,0.8064379499736049
0,528,0.767,0.066,0.633,0.502253431732256,0.7630526907167237
0,529,0.71,0.095,0.762,0.6550454595567878,0.8692332174312489
0,530,0.676,0.156,0.813,0.7093968159516459,0.9162189475951523
