,Random_state,CV_AUC,CV_AUC_SD,Test_AUC,Test_AUC_lCI,Test_AUC_uCI
0,793,0.699,0.055,0.706,0.5783577848622286,0.8333241292827396
0,794,0.729,0.038,0.732,0.6200677643369017,0.8436901526229854
0,795,0.697,0.065,0.809,0.7084390472814232,0.9087319590521449
0,796,0.724,0.124,0.673,0.5438515165839077,0.8016797993907578
0,797,0.718,0.072,0.73,0.6118031187515275,0.8491398791372832
0,798,0.718,0.07,0.719,0.603144309401288,0.8338718763833703
0,799,0.699,0.047,0.783,0.6751604877675882,0.8913419752865989
0,800,0.705,0.095,0.768,0.6508108296693074,0.8847275236030361
0,801,0.674,0.086,0.758,0.646686225931125,0.8691476938436815
0,802,0.718,0.055,0.741,0.6207969283597862,0.8612579625620999
0,803,0.718,0.052,0.741,0.6253428343199385,0.8567120566019475
0,804,0.765,0.089,0.636,0.5039086840820419,0.7684347360446293
0,805,0.685,0.093,0.806,0.6981751344457302,0.9147734932812225
0,806,0.728,0.057,0.688,0.5623467782858979,0.8141486474706118
0,807,0.726,0.11,0.712,0.593588620946998,0.8307604290178152
0,808,0.713,0.036,0.699,0.5702551483815039,0.8273521704080806
0,809,0.713,0.089,0.699,0.578983360649087,0.8186239581404976
0,810,0.757,0.094,0.622,0.4896254760535502,0.7545687533623543
0,811,0.711,0.039,0.768,0.6528526865135248,0.8826856667588187
0,812,0.739,0.068,0.693,0.5688010822209044,0.8175465602843734
0,813,0.718,0.078,0.723,0.6036131464597874,0.8432552560736397
0,814,0.623,0.142,0.844,0.7554648186186216,0.9334866240274023
0,815,0.692,0.08,0.759,0.6373987197523187,0.8798426595580259
0,816,0.739,0.006,0.722,0.604329615191695,0.8397238682706556
0,817,0.749,0.031,0.683,0.5538658583435367,0.811369891128666
0,818,0.724,0.07,0.757,0.6433998786065989,0.8710265816326692
0,819,0.738,0.081,0.717,0.5922218737453879,0.841979392968194
0,820,0.688,0.054,0.773,0.6627303830094777,0.882660187011634
0,821,0.72,0.07,0.723,0.5998754413265678,0.8455855016713213
0,822,0.676,0.104,0.821,0.7214929650039592,0.9210123129692991
0,823,0.727,0.11,0.68,0.5509627977685233,0.8086431135615259
0,824,0.719,0.035,0.733,0.6177465738192902,0.8488262622116738
0,825,0.744,0.086,0.672,0.5391923690556758,0.8049314873834515
0,826,0.714,0.102,0.772,0.6630238314103364,0.8809592790752373
0,827,0.722,0.092,0.708,0.5870966376095869,0.8288076551419966
0,828,0.705,0.076,0.749,0.6387834920192135,0.8587534537935946
0,829,0.708,0.059,0.775,0.6707528615953954,0.8788600870323316
0,830,0.734,0.022,0.719,0.5967630735002554,0.8416605718199415
0,831,0.724,0.088,0.726,0.6008180672313249,0.8502727139087171
0,832,0.705,0.109,0.757,0.6482554831035848,0.8661709771356833
0,833,0.784,0.055,0.541,0.4073809320680132,0.6749554507609804
0,834,0.734,0.118,0.706,0.5838329713184941,0.827848942826474
0,835,0.717,0.118,0.787,0.6749971783416395,0.8985425823902393
0,836,0.7,0.069,0.766,0.6542735678594529,0.8784498663418137
0,837,0.782,0.086,0.606,0.4679170423824684,0.7439056177160539
0,838,0.748,0.07,0.677,0.5437835344052147,0.8101925387826809
0,839,0.684,0.097,0.75,0.6365390743992828,0.8638127904846017
0,840,0.709,0.143,0.766,0.6532980503823496,0.8780179242833785
0,841,0.7,0.098,0.743,0.6214180592488907,0.8648592102796102
0,842,0.739,0.075,0.711,0.5858629679079621,0.8370786225213127
0,843,0.731,0.086,0.717,0.5985004541697734,0.8357008125438086
0,844,0.741,0.033,0.656,0.5342258278697937,0.7775264592519516
0,845,0.715,0.061,0.714,0.590373030028453,0.8381983985429756
0,846,0.713,0.088,0.686,0.5552104008259553,0.817062646323939
0,847,0.701,0.054,0.744,0.6226305305988423,0.865054198465197
0,848,0.689,0.09,0.741,0.6189047499135193,0.8631501410083667
0,849,0.723,0.138,0.71,0.5870623894288753,0.833064281929323
0,850,0.721,0.091,0.697,0.5756063348440416,0.8191860648744665
0,851,0.742,0.062,0.671,0.5432949719743898,0.7994214249291991
0,852,0.728,0.108,0.712,0.5931300967892097,0.8312189531756036
0,853,0.696,0.118,0.742,0.6276771983155747,0.8557851521418498
0,854,0.72,0.107,0.649,0.5096521098371627,0.788025581929199
0,855,0.745,0.054,0.691,0.5608913758877128,0.82123388801095
0,856,0.769,0.086,0.613,0.47958962096140767,0.7463076344924982
0,857,0.741,0.112,0.671,0.5407113512573769,0.802005045646212
0,858,0.735,0.048,0.665,0.5380138281596726,0.7920354329240712
0,859,0.67,0.137,0.785,0.6765300854837082,0.8941947561770942
0,860,0.69,0.162,0.759,0.6410234262684605,0.876217953041884
0,861,0.71,0.097,0.743,0.6250593939634657,0.8612178755650353
0,862,0.712,0.122,0.712,0.5873595748560954,0.8369894751087179
0,863,0.691,0.059,0.775,0.6644487946640765,0.8851641539636506
0,864,0.746,0.138,0.68,0.5559106066163786,0.8036953047136706
0,865,0.675,0.118,0.785,0.6736446079370775,0.8956727741881865
0,866,0.665,0.149,0.845,0.7557716796709776,0.9345872225105848
0,867,0.722,0.039,0.703,0.571641233671372,0.8344108423314428
0,868,0.693,0.091,0.748,0.6364661302361436,0.859663356041126
0,869,0.686,0.074,0.781,0.6758574529009324,0.8864226315466398
0,870,0.696,0.061,0.775,0.6633479279117988,0.8862650207159283
0,871,0.75,0.042,0.654,0.525750093653659,0.7831872743970096
0,872,0.695,0.049,0.78,0.6668255669329277,0.8926395984435676
0,873,0.719,0.06,0.735,0.6165237571444374,0.8528639979576035
0,874,0.742,0.049,0.678,0.5481954106944974,0.8071881220289366
0,875,0.726,0.063,0.723,0.6013072867510336,0.8455611157823935
0,876,0.726,0.079,0.71,0.5847436535595691,0.8353830177986292
0,877,0.758,0.102,0.616,0.48144147595079667,0.7514930771808007
0,878,0.741,0.049,0.683,0.5552312053707158,0.8100045441014869
0,879,0.724,0.106,0.719,0.603137094954852,0.8338790908298064
0,880,0.677,0.092,0.815,0.7158220705982592,0.914016071555154
0,881,0.696,0.074,0.739,0.622554879046435,0.8552776332688357
0,882,0.689,0.104,0.795,0.6877049194395115,0.9013168961832894
0,883,0.723,0.061,0.711,0.5884090096434317,0.8345325807858431
0,884,0.721,0.168,0.692,0.5675734371958783,0.8159592862383229
0,885,0.689,0.072,0.766,0.6598320128694262,0.8728914213318404
0,886,0.722,0.051,0.678,0.5411489371217777,0.8142345956016563
0,887,0.735,0.072,0.693,0.5690425044286598,0.8173051380766181
0,888,0.717,0.089,0.733,0.6134709865280984,0.8531018495028656
0,889,0.695,0.03,0.784,0.6758294416283326,0.8920804809613929
0,890,0.701,0.073,0.759,0.6434280257100659,0.8738133536002787
0,891,0.763,0.042,0.596,0.4601956650868064,0.7319225615141787
0,892,0.739,0.084,0.692,0.5680724218208804,0.8154603016133208
0,893,0.69,0.109,0.787,0.6772688763497676,0.8976783439176497
0,894,0.714,0.089,0.69,0.561756389088904,0.8175539557386823
0,895,0.734,0.057,0.688,0.5616013666049974,0.8134865996159738
0,896,0.694,0.091,0.79,0.6868379945642812,0.8937390638452894
0,897,0.723,0.07,0.745,0.6260254290483114,0.8630667595512664
0,898,0.764,0.103,0.607,0.4754786172519194,0.7391589619176795
0,899,0.7,0.098,0.745,0.6246371798650865,0.8644550087344913
0,900,0.719,0.027,0.718,0.5939158987089195,0.8416928275402009
0,901,0.708,0.038,0.748,0.6336373668407218,0.8624921194365478
0,902,0.733,0.058,0.701,0.5668013128608084,0.8350283845353915
0,903,0.724,0.018,0.747,0.6270118576682074,0.8663027095379853
0,904,0.719,0.075,0.731,0.6179822838939983,0.8443681735303508
0,905,0.756,0.054,0.667,0.535656413667152,0.7986152260232069
0,906,0.753,0.062,0.638,0.5041615854304907,0.7709967537672572
0,907,0.743,0.045,0.692,0.5714393063673284,0.8135008766024112
0,908,0.735,0.072,0.665,0.5252857949543989,0.8047634661293449
0,909,0.76,0.036,0.631,0.5005364864497361,0.7605472573926282
0,910,0.703,0.045,0.745,0.6351329944294309,0.8539591941701469
0,911,0.714,0.106,0.73,0.6060765460240694,0.8548664518647413
0,912,0.674,0.05,0.759,0.6374556867675462,0.8811931520783368
0,913,0.734,0.032,0.693,0.5664058486721784,0.8199417938330995
0,914,0.71,0.103,0.761,0.6487572455887501,0.8741139718637482
0,915,0.73,0.098,0.69,0.5622675596899944,0.8184502446731303
0,916,0.708,0.08,0.726,0.6080164679962822,0.8430743131437598
0,917,0.626,0.143,0.869,0.790277581329036,0.94793494506083
0,918,0.716,0.042,0.703,0.5823625292743533,0.8236895467284615
0,919,0.712,0.056,0.692,0.5727642965791812,0.8121758863905585
0,920,0.712,0.1,0.727,0.6028619984916255,0.8510437017194934
0,921,0.706,0.051,0.729,0.6085233927103691,0.8496046861073651
0,922,0.697,0.099,0.8,0.6970258758153576,0.90325561609175
0,923,0.726,0.07,0.717,0.594326558138265,0.839874708575317
0,924,0.746,0.044,0.706,0.574506626302027,0.8371752878429412
0,925,0.724,0.08,0.707,0.5855577438032461,0.8275316298772605
0,926,0.694,0.077,0.751,0.6360832576100526,0.8656760668093704
0,927,0.639,0.067,0.863,0.7725817977240967,0.9543710523814626
0,928,0.686,0.043,0.771,0.6611617779251789,0.8814138730248563
0,929,0.711,0.074,0.747,0.6249760672037961,0.8683385000023967
0,930,0.687,0.046,0.776,0.6599162683297808,0.8925115993690227
0,931,0.693,0.114,0.743,0.6208017441335562,0.8654755253949448
0,932,0.713,0.1,0.754,0.6451200478713327,0.863676574225782
0,933,0.737,0.093,0.692,0.5689144193938078,0.8146183040403934
0,934,0.719,0.049,0.707,0.5802422550387613,0.8328471186417453
0,935,0.726,0.034,0.735,0.6166728918328042,0.8541223228047752
0,936,0.708,0.064,0.757,0.6434465020226141,0.870979958216654
0,937,0.706,0.039,0.73,0.6136610093073345,0.8458745290459377
0,938,0.691,0.053,0.787,0.6754882528609248,0.8994589674064924
0,939,0.693,0.059,0.783,0.6729433296980902,0.8935591333560968
0,940,0.731,0.145,0.663,0.5372498213771607,0.7885770610999682
0,941,0.721,0.084,0.702,0.5753331827542885,0.8279039741774499
0,942,0.701,0.068,0.743,0.6213615086181695,0.8649157609103314
0,943,0.709,0.046,0.749,0.6278682993291034,0.8710761060192427
0,944,0.719,0.102,0.711,0.5875506018307443,0.8339835290629926
0,945,0.661,0.122,0.811,0.7159506685055691,0.9068501759701523
0,946,0.722,0.065,0.742,0.6210060713268775,0.862456279130547
0,947,0.683,0.024,0.777,0.6608691441690572,0.8929661830652847
0,948,0.741,0.047,0.669,0.5362651000485804,0.8008214587128554
0,949,0.736,0.096,0.742,0.6258943527055174,0.8575679977519071
0,950,0.672,0.068,0.811,0.7005707129116363,0.9222301315640851
0,951,0.713,0.063,0.735,0.6152288446698865,0.8555663699676929
0,952,0.673,0.03,0.828,0.7377016781529304,0.9188781951757115
0,953,0.717,0.057,0.726,0.6077853653647308,0.8447128753108496
0,954,0.72,0.079,0.75,0.6288503626780051,0.8715015022058794
0,955,0.743,0.074,0.693,0.5695153156269557,0.8168323268783222
0,956,0.759,0.07,0.619,0.4855865075448591,0.7529778837288919
0,957,0.735,0.067,0.707,0.5832293582014461,0.831267475014599
0,958,0.683,0.078,0.802,0.703805318909542,0.8992910920686424
0,959,0.678,0.049,0.82,0.724735038068107,0.9149553208340744
0,960,0.71,0.111,0.73,0.615097998141123,0.8458449997476877
0,961,0.702,0.108,0.753,0.640326810276957,0.8656548927490808
0,962,0.728,0.066,0.704,0.5789586266882153,0.8299083683856764
0,963,0.701,0.084,0.793,0.6907822192435968,0.8954246773081271
0,964,0.709,0.098,0.729,0.6092783828349511,0.8488496959827831
0,965,0.716,0.082,0.728,0.6156773739289967,0.8410432453531991
0,966,0.756,0.049,0.64,0.5103079083500263,0.7690728094543368
0,967,0.732,0.047,0.714,0.5908043949773799,0.8377670335940487
0,968,0.736,0.086,0.721,0.6039658150941195,0.8386802088326927
0,969,0.713,0.064,0.73,0.6066031957680322,0.85293234258524
0,970,0.724,0.038,0.722,0.6028005753558906,0.84125290810646
0,971,0.73,0.066,0.714,0.5942790018542721,0.8342924267171565
0,972,0.712,0.033,0.736,0.6098116373037326,0.8623910368693852
0,973,0.74,0.113,0.676,0.5500186913033694,0.8011424628134497
0,974,0.717,0.093,0.737,0.6178496127621683,0.8557605209464875
0,975,0.751,0.046,0.664,0.5330386425121311,0.794195699500536
0,976,0.746,0.078,0.673,0.5407702198424503,0.8061685556677537
0,977,0.749,0.075,0.678,0.5463619623491476,0.8090215703742865
0,978,0.77,0.08,0.609,0.473324411583656,0.7455355461925578
0,979,0.665,0.067,0.771,0.663392485228286,0.8791831657217493
0,980,0.684,0.05,0.785,0.6741777127687103,0.8965471288920921
0,981,0.76,0.155,0.625,0.4919120572704374,0.7579120102876202
0,982,0.724,0.079,0.716,0.5907304451888673,0.8420633619891762
0,983,0.739,0.042,0.664,0.5265321624913961,0.800702179521271
0,984,0.685,0.137,0.773,0.6678266392192109,0.8775639308019008
0,985,0.758,0.038,0.65,0.5242596388871953,0.7762329719502431
0,986,0.691,0.117,0.771,0.6574942403860601,0.8836739510284367
0,987,0.718,0.125,0.728,0.605678483681883,0.8496346760647743
0,988,0.662,0.096,0.833,0.7342288395665397,0.9307957909753324
0,989,0.714,0.057,0.739,0.6211219947657577,0.856710517549513
0,990,0.711,0.088,0.747,0.6286178965821696,0.8646966706240231
0,991,0.741,0.043,0.688,0.5585705571311693,0.8179248686253403
0,992,0.719,0.088,0.719,0.5939372531765156,0.8430789326081428
0,993,0.768,0.054,0.643,0.5117964719951563,0.7732140839513603
0,994,0.689,0.098,0.815,0.7162067698199122,0.913631372333501
0,995,0.738,0.042,0.652,0.5188858343166498,0.7844216955918653
0,996,0.726,0.08,0.665,0.5362217880441007,0.7938274730396431
0,997,0.688,0.038,0.764,0.6443142207504511,0.8827793753086621
0,998,0.731,0.07,0.725,0.6018099229661182,0.8478733986383853
0,999,0.74,0.053,0.669,0.5407406407726898,0.796345917988746
