,SVC,RF,LASSO,ADA,mean
402,0.099,1.0,0.008,0.397,0.376
403,0.978,0.705,0.465,0.286,0.6084999999999999
404,1.0,0.933,0.902,0.353,0.7969999999999999
405,0.03,0.606,0.0,0.074,0.1775
406,0.476,0.441,0.096,0.112,0.28125000000000006
407,0.18,0.995,0.018,0.078,0.31775000000000003
408,0.563,0.973,0.003,0.056,0.39875
409,0.944,0.701,0.117,0.081,0.46075
410,0.532,0.902,0.001,0.129,0.391
411,0.476,0.696,0.095,0.136,0.35075
412,0.728,0.999,0.052,0.05,0.45725
413,0.12,0.909,0.0,0.01,0.25975
414,0.566,0.401,0.002,0.018,0.24675
415,0.244,0.403,0.0,0.022,0.16725
416,0.064,0.375,0.0,0.037,0.119
417,0.144,0.4,0.001,0.072,0.15425
418,0.77,0.757,0.045,0.123,0.42375
419,0.27,0.143,0.002,0.008,0.10575000000000001
420,0.75,0.562,0.001,0.152,0.36624999999999996
421,0.42,0.243,0.004,0.047,0.17850000000000002
422,0.166,0.114,0.0,0.008,0.07200000000000001
423,0.475,0.282,0.0,0.013,0.19249999999999998
424,0.421,0.11,0.0,0.006,0.13425
425,0.007,0.479,0.0,0.063,0.13724999999999998
426,0.555,0.492,0.09,0.035,0.29300000000000004
427,0.666,0.175,0.003,0.008,0.213
428,0.501,0.276,0.0,0.001,0.1945
429,0.376,0.121,0.014,0.016,0.13175
430,0.995,0.502,0.617,0.224,0.5845
431,0.458,0.176,0.004,0.015,0.16325
432,0.9,0.365,0.019,0.153,0.35925
433,0.321,0.281,0.001,0.019,0.15550000000000003
434,0.16,0.37,0.008,0.077,0.15375
435,0.829,0.259,0.0,0.012,0.275
436,0.493,0.524,0.004,0.035,0.26399999999999996
437,0.359,0.315,0.003,0.012,0.17225
438,0.997,0.445,0.157,0.305,0.476
439,0.837,0.284,0.069,0.105,0.32375
440,0.744,0.258,0.002,0.034,0.2595
441,0.231,0.213,0.004,0.018,0.1165
442,0.351,0.427,0.058,0.061,0.22425
443,0.427,0.148,0.0,0.006,0.14525
444,0.932,0.024,0.098,0.033,0.27175
445,0.21,0.27,0.003,0.075,0.13949999999999999
446,0.28,0.158,0.008,0.099,0.13625
447,0.296,0.001,0.064,0.0,0.09025
448,0.226,0.192,0.151,0.003,0.14300000000000002
449,0.295,0.987,0.001,0.129,0.353
450,0.008,0.127,0.0,0.059,0.0485
451,0.416,0.15,0.112,0.05,0.182
452,0.993,0.476,0.985,0.296,0.6874999999999999
453,0.956,0.065,0.047,0.029,0.27424999999999994
454,0.458,0.301,0.009,0.046,0.20350000000000001
